"Fecha";Local;Visita;Distancia
"17";"Universidad Católica";"Universidad de Chile";"8246.41"
"17";"Universidad Católica";"Universidad de Chile";"8307.72"
"18";"Curicó Unido";"Universidad de Concepción";"8504.4"
"18";"O'Higgins";"Huachipato";"8510.56"
"18";"Colo-Colo";"Universidad de Chile";"8219.71"
"18";"Unión Española";"Universidad Católica";"8208.24"
"18";"Audax Italiano";"Palestino";"8226.56"
"18";"Everton";"Unión La Calera";"8259.52"
"18";"Coquimbo Unido";"Santiago Wanderers";"8304.74"
"18";"Cobresal";"Deportes La Serena";"8208.81"
"18";"Deportes Iquique";"Deportes Antofagasta";"8018.46"
"19";"O'Higgins";"Universidad de Concepción";"8504.4"
"19";"Curicó Unido";"Huachipato";"8510.56"
"19";"Unión Española";"Universidad de Chile";"8219.71"
"19";"Colo-Colo";"Universidad Católica";"8208.24"
"19";"Unión La Calera";"Palestino";"8226.56"
"19";"Everton";"Audax Italiano";"8218.39"
"19";"Deportes La Serena";"Santiago Wanderers";"8304.74"
"19";"Deportes Antofagasta";"Coquimbo Unido";"8218.02"
"19";"Deportes Iquique";"Cobresal";"7984.7"
"20";"Palestino";"Universidad de Concepción";"8504.4"
"20";"Audax Italiano";"Huachipato";"8510.56"
"20";"Colo-Colo";"Curicó Unido";"8307.72"
"20";"Universidad de Chile";"O'Higgins";"8246.41"
"20";"Unión La Calera";"Universidad Católica";"8208.24"
"20";"Everton";"Unión Española";"8222.85"
"20";"Cobresal";"Santiago Wanderers";"8304.74"
"20";"Deportes Antofagasta";"Deportes La Serena";"8208.81"
"20";"Deportes Iquique";"Coquimbo Unido";"8218.02"
"21";"Audax Italiano";"Universidad de Concepción";"8504.4"
"21";"Palestino";"Huachipato";"8510.56"
"21";"Universidad de Chile";"Curicó Unido";"8307.72"
"21";"Colo-Colo";"O'Higgins";"8246.41"
"21";"Everton";"Universidad Católica";"8208.24"
"21";"Unión La Calera";"Unión Española";"8222.85"
"21";"Deportes Antofagasta";"Santiago Wanderers";"8304.74"
"21";"Deportes Iquique";"Deportes La Serena";"8208.81"
"21";"Deportes Iquique";"Deportes La Serena";"8218.02"
"21";"Deportes Iquique";"Deportes La Serena";"7984.7"
"22";"Colo-Colo";"Universidad de Concepción";"8504.4"
"22";"Universidad de Chile";"Huachipato";"8510.56"
"22";"Palestino";"Curicó Unido";"8307.72"
"22";"Audax Italiano";"O'Higgins";"8246.41"
"22";"Santiago Wanderers";"Universidad Católica";"8208.24"
"22";"Coquimbo Unido";"Unión Española";"8222.85"
"22";"Deportes La Serena";"Unión La Calera";"8259.52"
"22";"Deportes Antofagasta";"Everton";"8294.95"
"22";"Deportes Antofagasta";"Everton";"7984.7"
"22";"Deportes Antofagasta";"Everton";"7940.06"
"23";"Universidad de Chile";"Universidad de Concepción";"8504.4"
"23";"Colo-Colo";"Huachipato";"8510.56"
"23";"Audax Italiano";"Curicó Unido";"8307.72"
"23";"Palestino";"O'Higgins";"8246.41"
"23";"Coquimbo Unido";"Universidad Católica";"8208.24"
"23";"Santiago Wanderers";"Unión Española";"8222.85"
"23";"Cobresal";"Unión La Calera";"8259.52"
"23";"Deportes Iquique";"Everton";"8294.95"
"23";"Deportes Iquique";"Everton";"8208.81"
"23";"Deportes Iquique";"Everton";"8018.46"
"24";"Unión Española";"Universidad de Concepción";"8504.4"
"24";"Santiago Wanderers";"Huachipato";"8510.56"
"24";"Universidad Católica";"Curicó Unido";"8307.72"
"24";"Everton";"O'Higgins";"8246.41"
"24";"Palestino";"Universidad de Chile";"8219.71"
"24";"Unión La Calera";"Colo-Colo";"8220.18"
"24";"Coquimbo Unido";"Audax Italiano";"8218.39"
"24";"Coquimbo Unido";"Audax Italiano";"8208.81"
"24";"Deportes Antofagasta";"Cobresal";"7984.7"
"24";"Deportes Antofagasta";"Cobresal";"7940.06"
"25";"Santiago Wanderers";"Universidad de Concepción";"8504.4"
"25";"Unión Española";"Huachipato";"8510.56"
"25";"Everton";"Curicó Unido";"8307.72"
"25";"Universidad Católica";"O'Higgins";"8246.41"
"25";"Audax Italiano";"Universidad de Chile";"8219.71"
"25";"Coquimbo Unido";"Palestino";"8226.56"
"25";"Deportes La Serena";"Colo-Colo";"8220.18"
"25";"Deportes Antofagasta";"Unión La Calera";"8259.52"
"25";"Deportes Antofagasta";"Unión La Calera";"7984.7"
"25";"Deportes Antofagasta";"Unión La Calera";"7940.06"
"26";"Everton";"Universidad de Concepción";"8504.4"
"26";"Universidad Católica";"Huachipato";"8510.56"
"26";"Unión Española";"Curicó Unido";"8307.72"
"26";"Santiago Wanderers";"O'Higgins";"8246.41"
"26";"Unión La Calera";"Universidad de Chile";"8219.71"
"26";"Deportes La Serena";"Palestino";"8226.56"
"26";"Coquimbo Unido";"Colo-Colo";"8220.18"
"26";"Cobresal";"Audax Italiano";"8218.39"
"26";"Cobresal";"Audax Italiano";"8018.46"
"26";"Cobresal";"Audax Italiano";"7940.06"
"27";"Universidad Católica";"Universidad de Concepción";"8504.4"
"27";"Everton";"Huachipato";"8510.56"
"27";"Santiago Wanderers";"Curicó Unido";"8307.72"
"27";"Unión Española";"O'Higgins";"8246.41"
"27";"Coquimbo Unido";"Universidad de Chile";"8219.71"
"27";"Cobresal";"Palestino";"8226.56"
"27";"Deportes Antofagasta";"Colo-Colo";"8220.18"
"27";"Unión La Calera";"Audax Italiano";"8218.39"
"27";"Unión La Calera";"Audax Italiano";"8208.81"
"27";"Unión La Calera";"Audax Italiano";"7940.06"
"28";"Unión La Calera";"Universidad de Concepción";"8504.4"
"28";"Coquimbo Unido";"Huachipato";"8510.56"
"28";"Deportes La Serena";"Curicó Unido";"8307.72"
"28";"Cobresal";"O'Higgins";"8246.41"
"28";"Everton";"Universidad de Chile";"8219.71"
"28";"Audax Italiano";"Universidad Católica";"8208.24"
"28";"Colo-Colo";"Unión Española";"8222.85"
"28";"Santiago Wanderers";"Palestino";"8226.56"
"28";"Santiago Wanderers";"Palestino";"8018.46"
"28";"Santiago Wanderers";"Palestino";"7940.06"
"29";"Coquimbo Unido";"Universidad de Concepción";"8504.4"
"29";"Unión La Calera";"Huachipato";"8510.56"
"29";"Cobresal";"Curicó Unido";"8307.72"
"29";"Deportes La Serena";"O'Higgins";"8246.41"
"29";"Santiago Wanderers";"Universidad de Chile";"8219.71"
"29";"Palestino";"Universidad Católica";"8208.24"
"29";"Deportes Antofagasta";"Unión Española";"8222.85"
"29";"Everton";"Colo-Colo";"8220.18"
"29";"Deportes Iquique";"Audax Italiano";"8218.39"
"30";"Deportes La Serena";"Universidad de Concepción";"8504.4"
"30";"Cobresal";"Huachipato";"8510.56"
"30";"Unión La Calera";"Curicó Unido";"8307.72"
"30";"Coquimbo Unido";"O'Higgins";"8246.41"
"30";"Deportes Antofagasta";"Universidad de Chile";"8219.71"
"30";"Deportes Iquique";"Universidad Católica";"8208.24"
"30";"Deportes Iquique";"Universidad Católica";"8222.85"
"30";"Everton";"Palestino";"8226.56"
"30";"Santiago Wanderers";"Colo-Colo";"8220.18"
"30";"Santiago Wanderers";"Colo-Colo";"8218.39"
"31";"Cobresal";"Universidad de Concepción";"8504.4"
"31";"Deportes La Serena";"Huachipato";"8510.56"
"31";"Coquimbo Unido";"Curicó Unido";"8307.72"
"31";"Unión La Calera";"O'Higgins";"8246.41"
"31";"Deportes Iquique";"Universidad de Chile";"8219.71"
"31";"Deportes Antofagasta";"Universidad Católica";"8208.24"
"31";"Deportes Antofagasta";"Universidad Católica";"8222.85"
"31";"Deportes Antofagasta";"Universidad Católica";"8226.56"
"31";"Deportes Antofagasta";"Universidad Católica";"8220.18"
"31";"Santiago Wanderers";"Audax Italiano";"8218.39"
"31";"Santiago Wanderers";"Audax Italiano";"8294.95"
"32";"Deportes Antofagasta";"Universidad de Concepción";"8504.4"
"32";"Deportes Iquique";"Huachipato";"8510.56"
"32";"Deportes Iquique";"Huachipato";"8307.72"
"32";"Deportes Iquique";"Huachipato";"8246.41"
"32";"Deportes La Serena";"Universidad de Chile";"8219.71"
"32";"Cobresal";"Universidad Católica";"8208.24"
"32";"Cobresal";"Universidad Católica";"8222.85"
"32";"Cobresal";"Universidad Católica";"8226.56"
"32";"Cobresal";"Universidad Católica";"8220.18"
"32";"Cobresal";"Universidad Católica";"8218.39"
"32";"Coquimbo Unido";"Unión La Calera";"8259.52"
"32";"Everton";"Santiago Wanderers";"8304.74"
"33";"Deportes Iquique";"Universidad de Concepción";"8504.4"
"33";"Deportes Antofagasta";"Huachipato";"8510.56"
"33";"Deportes Antofagasta";"Huachipato";"8307.72"
"33";"Deportes Antofagasta";"Huachipato";"8246.41"
"33";"Cobresal";"Universidad de Chile";"8219.71"
